id,level,comparison,similarity
Dämmerung,Klexikon,source_vs_target,0.6994
Hand,MiniKlexikon,source_vs_target,0.6997
Mahatma Gandhi,MiniKlexikon,source_vs_target,0.6999
Pandas,Klexikon,source_vs_target,0.7004
Sonnensystem,Klexikon,source_vs_target,0.7017
Marienkäfer,MiniKlexikon,source_vs_target,0.7025
Handwerk,MiniKlexikon,source_vs_target,0.7026
Verdauung,MiniKlexikon,source_vs_target,0.703
Wort,Klexikon,source_vs_target,0.707
Eule,MiniKlexikon,source_vs_target,0.7093
Sozialismus,MiniKlexikon,source_vs_target,0.7097
Mönch,MiniKlexikon,source_vs_target,0.7132
Kühe,MiniKlexikon,source_vs_target,0.7155
Kängurus,Klexikon,source_vs_target,0.7169
Raubtiere,Klexikon,source_vs_target,0.7173
Klavier,MiniKlexikon,source_vs_target,0.7185
Schnecken,Klexikon,source_vs_target,0.7195
Marie Curie,MiniKlexikon,source_vs_target,0.7201
Mahatma Gandhi,Klexikon,source_vs_target,0.7211
Zeitrechnung,MiniKlexikon,source_vs_target,0.7232
Erntedankfest,MiniKlexikon,source_vs_target,0.7241
Fortnite,Klexikon,source_vs_target,0.7259
Russ,Klexikon,source_vs_target,0.7263
Ruß,Klexikon,source_vs_target,0.7263
Eule,Klexikon,source_vs_target,0.7268
Katastrophe,MiniKlexikon,source_vs_target,0.7278
Aschenputtel,Klexikon,source_vs_target,0.728
Waage,Klexikon,source_vs_target,0.7288
Bismarck,Klexikon,source_vs_target,0.7293
Otto von Bismarck,Klexikon,source_vs_target,0.7293
Kartoffel,Klexikon,source_vs_target,0.7295
Rhein,MiniKlexikon,source_vs_target,0.7301
Kelten,Klexikon,source_vs_target,0.7304
Urgeschichte,MiniKlexikon,source_vs_target,0.7304
Westen,Klexikon,source_vs_target,0.7305
Waise,Klexikon,source_vs_target,0.7315
Vögel,Klexikon,source_vs_target,0.7323
Gesetz,Klexikon,source_vs_target,0.7326
Kinderarzt,Klexikon,source_vs_target,0.7338
Gestein,MiniKlexikon,source_vs_target,0.7357
Grenze,Klexikon,source_vs_target,0.7365
Ariana Grande,MiniKlexikon,source_vs_target,0.7366
Wirtschaft,MiniKlexikon,source_vs_target,0.7366
Marienkäfer,Klexikon,source_vs_target,0.737
Wirtschaft,Klexikon,source_vs_target,0.7373
Huhn,MiniKlexikon,source_vs_target,0.7382
Wissenschaft,Klexikon,source_vs_target,0.7387
Fortnite,MiniKlexikon,source_vs_target,0.7392
Museum,MiniKlexikon,source_vs_target,0.7399
Rhein,Klexikon,source_vs_target,0.7401
Ringelnatter,MiniKlexikon,source_vs_target,0.7402
Aschenputtel,MiniKlexikon,source_vs_target,0.741
Westen,MiniKlexikon,source_vs_target,0.7419
Handwerk,Klexikon,source_vs_target,0.7421
Kelten,MiniKlexikon,source_vs_target,0.7421
Ratten,MiniKlexikon,source_vs_target,0.7455
Dornröschen,Klexikon,source_vs_target,0.7456
Bären,Klexikon,source_vs_target,0.7468
Mönch,Klexikon,source_vs_target,0.7491
Gorilla,MiniKlexikon,source_vs_target,0.7499
Kathedrale,Klexikon,source_vs_target,0.7504
Feuer,MiniKlexikon,source_vs_target,0.7507
Nacht,MiniKlexikon,source_vs_target,0.7529
Klavier,Klexikon,source_vs_target,0.7533
Bibel,MiniKlexikon,source_vs_target,0.7536
Himalaya,Klexikon,source_vs_target,0.7555
Australien,Klexikon,source_vs_target,0.7557
Erntedankfest,Klexikon,source_vs_target,0.756
Urgeschichte,Klexikon,source_vs_target,0.7571
Verb,MiniKlexikon,source_vs_target,0.7583
Zeitzone,Klexikon,source_vs_target,0.759
Russ,MiniKlexikon,source_vs_target,0.7592
Ruß,MiniKlexikon,source_vs_target,0.7592
Westliche Welt,MiniKlexikon,source_vs_target,0.7612
Mücke,MiniKlexikon,source_vs_target,0.7622
Hand,Klexikon,source_vs_target,0.7624
Pflug,Klexikon,source_vs_target,0.763
Osmanisches Reich,MiniKlexikon,source_vs_target,0.7631
Schweine,Klexikon,source_vs_target,0.7631
Australien,MiniKlexikon,source_vs_target,0.7638
Albert Schweitzer,Klexikon,source_vs_target,0.764
Leuchtturm,MiniKlexikon,source_vs_target,0.7641
Fussball,Klexikon,source_vs_target,0.7642
Dinkel,MiniKlexikon,source_vs_target,0.7644
Mücke,Klexikon,source_vs_target,0.7648
Getreide,Klexikon,source_vs_target,0.7652
Gorilla,Klexikon,source_vs_target,0.7666
Nacht,Klexikon,source_vs_target,0.7669
Haussperling,MiniKlexikon,source_vs_target,0.7676
Libellen,Klexikon,source_vs_target,0.7682
Politik,MiniKlexikon,source_vs_target,0.7691
Montenegro,MiniKlexikon,source_vs_target,0.7697
Maulwürfe,Klexikon,source_vs_target,0.7706
Pflug,MiniKlexikon,source_vs_target,0.7709
Zebra,MiniKlexikon,source_vs_target,0.7709
Bismarck,MiniKlexikon,source_vs_target,0.7713
Otto von Bismarck,MiniKlexikon,source_vs_target,0.7713
Karneval,Klexikon,source_vs_target,0.7718
Himalaya,MiniKlexikon,source_vs_target,0.7722
Mittelmeer,MiniKlexikon,source_vs_target,0.7745
Feuer,Klexikon,source_vs_target,0.7749
Island,MiniKlexikon,source_vs_target,0.7755
Gas,Klexikon,source_vs_target,0.7758
Laubbaum,Klexikon,source_vs_target,0.7763
Werbung,MiniKlexikon,source_vs_target,0.7771
Pottwal,Klexikon,source_vs_target,0.7772
Elbe,MiniKlexikon,source_vs_target,0.7773
Schule,Klexikon,source_vs_target,0.7778
Held,MiniKlexikon,source_vs_target,0.7794
Indischer Ozean,MiniKlexikon,source_vs_target,0.7799
Leopard,MiniKlexikon,source_vs_target,0.78
Märchen,Klexikon,source_vs_target,0.7829
Porzellan,Klexikon,source_vs_target,0.7833
Pädagogik,Klexikon,source_vs_target,0.7835
Glühlampe,MiniKlexikon,source_vs_target,0.7842
Pottwal,MiniKlexikon,source_vs_target,0.7847
Kapitalismus,Klexikon,source_vs_target,0.7852
Fridays for Future,MiniKlexikon,source_vs_target,0.7853
Kamel,MiniKlexikon,source_vs_target,0.7854
Thermometer,MiniKlexikon,source_vs_target,0.7856
Pflanzen,MiniKlexikon,source_vs_target,0.7859
Ratten,Klexikon,source_vs_target,0.786
Nordmazedonien,MiniKlexikon,source_vs_target,0.7872
Magnetschwebebahn,MiniKlexikon,source_vs_target,0.7873
Mathematik,Klexikon,source_vs_target,0.7878
Maximilien de Robespierre,MiniKlexikon,source_vs_target,0.7884
Sonnensystem,MiniKlexikon,source_vs_target,0.7884
Brust,MiniKlexikon,source_vs_target,0.7891
Schleswig-Holstein,MiniKlexikon,source_vs_target,0.7891
Ariana Grande,Klexikon,source_vs_target,0.7899
Karneval,MiniKlexikon,source_vs_target,0.7906
Ringelnatter,Klexikon,source_vs_target,0.7906
Pflanzen,Klexikon,source_vs_target,0.7909
Krieg,Klexikon,source_vs_target,0.7913
Albert Schweitzer,MiniKlexikon,source_vs_target,0.7914
Marie Curie,Klexikon,source_vs_target,0.7922
Moose,Klexikon,source_vs_target,0.7926
Insekten,Klexikon,source_vs_target,0.7942
Leben,Klexikon,source_vs_target,0.7943
Wissenschaft,MiniKlexikon,source_vs_target,0.7943
Palme,Klexikon,source_vs_target,0.7945
Palmen,Klexikon,source_vs_target,0.7945
Kopf,MiniKlexikon,source_vs_target,0.7948
Spanien,MiniKlexikon,source_vs_target,0.7952
Schleswig-Holstein,Klexikon,source_vs_target,0.7957
Sonderbundskrieg,MiniKlexikon,source_vs_target,0.7975
Siebenschläfer,MiniKlexikon,source_vs_target,0.7978
Thermometer,Klexikon,source_vs_target,0.7992
Sonne,MiniKlexikon,source_vs_target,0.8
Kopf,Klexikon,source_vs_target,0.8005
Depression,MiniKlexikon,source_vs_target,0.8012
Minecraft,Klexikon,source_vs_target,0.802
Rentier,MiniKlexikon,source_vs_target,0.8031
Maximilien de Robespierre,Klexikon,source_vs_target,0.8036
Krieg,MiniKlexikon,source_vs_target,0.804
Meter,MiniKlexikon,source_vs_target,0.8046
Vaterunser,MiniKlexikon,source_vs_target,0.805
Fussball,MiniKlexikon,source_vs_target,0.8054
Albrecht Dürer,Klexikon,source_vs_target,0.8064
Haussperling,Klexikon,source_vs_target,0.8065
Politik,Klexikon,source_vs_target,0.8074
Louvre,Klexikon,source_vs_target,0.8092
Regenwald,Klexikon,source_vs_target,0.8092
Pokémon,MiniKlexikon,source_vs_target,0.8099
Erlen,Klexikon,source_vs_target,0.81
Türkei,MiniKlexikon,source_vs_target,0.8101
Magnetschwebebahn,Klexikon,source_vs_target,0.8102
Hochhaus,MiniKlexikon,source_vs_target,0.8105
Paradies,MiniKlexikon,source_vs_target,0.8106
E-Mail,MiniKlexikon,source_vs_target,0.8112
Server,MiniKlexikon,source_vs_target,0.8112
Minecraft,MiniKlexikon,source_vs_target,0.8114
Osmanisches Reich,Klexikon,source_vs_target,0.8119
Leipzig,MiniKlexikon,source_vs_target,0.8125
Stadt,MiniKlexikon,source_vs_target,0.8126
Getreide,MiniKlexikon,source_vs_target,0.8128
Behinderung,MiniKlexikon,source_vs_target,0.8133
Helgoland,MiniKlexikon,source_vs_target,0.8137
Fuss,Klexikon,source_vs_target,0.8139
Luchse,Klexikon,source_vs_target,0.814
Glühlampe,Klexikon,source_vs_target,0.8142
Verb,Klexikon,source_vs_target,0.8146
Pokémon,Klexikon,source_vs_target,0.8153
Westliche Welt,Klexikon,source_vs_target,0.8164
Behinderung,Klexikon,source_vs_target,0.8172
Kontinent,MiniKlexikon,source_vs_target,0.8172
Dinkel,Klexikon,source_vs_target,0.8176
Gras,Klexikon,source_vs_target,0.8176
Indischer Ozean,Klexikon,source_vs_target,0.8181
Erfinder,MiniKlexikon,source_vs_target,0.8198
Rentier,Klexikon,source_vs_target,0.8198
Paradies,Klexikon,source_vs_target,0.8199
Zebra,Klexikon,source_vs_target,0.8204
Blutkreislauf,MiniKlexikon,source_vs_target,0.8211
Durchmesser,MiniKlexikon,source_vs_target,0.8211
Radius,MiniKlexikon,source_vs_target,0.8211
Erlen,MiniKlexikon,source_vs_target,0.8216
Stadt,Klexikon,source_vs_target,0.8224
Franziskus,Klexikon,source_vs_target,0.8243
Napoleon Bonaparte,MiniKlexikon,source_vs_target,0.8248
Byzantinisches Reich,MiniKlexikon,source_vs_target,0.825
Donau,MiniKlexikon,source_vs_target,0.825
Amerika,MiniKlexikon,source_vs_target,0.8255
Märchen,MiniKlexikon,source_vs_target,0.8256
Nordmazedonien,Klexikon,source_vs_target,0.8262
Haut,Klexikon,source_vs_target,0.8263
Türkei,Klexikon,source_vs_target,0.8269
Queen (Band),MiniKlexikon,source_vs_target,0.8271
Louvre,MiniKlexikon,source_vs_target,0.8273
Kontinent,Klexikon,source_vs_target,0.8276
Poseidon,Klexikon,source_vs_target,0.828
Temperatur,MiniKlexikon,source_vs_target,0.8294
Bibel,Klexikon,source_vs_target,0.8298
Mittelmeer,Klexikon,source_vs_target,0.8302
Wildkatze,MiniKlexikon,source_vs_target,0.8304
Pippi Langstrumpf,Klexikon,source_vs_target,0.8332
Amerika,Klexikon,source_vs_target,0.8334
Meter,Klexikon,source_vs_target,0.8334
Albrecht Dürer,MiniKlexikon,source_vs_target,0.8341
Franzosenzeit,MiniKlexikon,source_vs_target,0.8343
Franziskus,MiniKlexikon,source_vs_target,0.8346
Sonderbundskrieg,Klexikon,source_vs_target,0.835
Wildkatze,Klexikon,source_vs_target,0.835
Siebenschläfer,Klexikon,source_vs_target,0.8352
Ostsee,Klexikon,source_vs_target,0.8356
Johann Wolfgang von Goethe,MiniKlexikon,source_vs_target,0.8358
Poseidon,MiniKlexikon,source_vs_target,0.8362
Euro,MiniKlexikon,source_vs_target,0.8365
Depression,Klexikon,source_vs_target,0.837
Orang-Utans,MiniKlexikon,source_vs_target,0.8375
Spanien,Klexikon,source_vs_target,0.8376
Fuss,MiniKlexikon,source_vs_target,0.838
Neujahr,MiniKlexikon,source_vs_target,0.838
Sozialismus,Klexikon,source_vs_target,0.8385
Klexikon,Klexikon,source_vs_target,0.8395
Weltwunder,MiniKlexikon,source_vs_target,0.8404
Hochhaus,Klexikon,source_vs_target,0.841
Montenegro,Klexikon,source_vs_target,0.8413
Syrien,MiniKlexikon,source_vs_target,0.8421
Regenwald,MiniKlexikon,source_vs_target,0.8422
Horizont,MiniKlexikon,source_vs_target,0.8435
Antibiotikum,MiniKlexikon,source_vs_target,0.8445
Wales,Klexikon,source_vs_target,0.8454
Aare,MiniKlexikon,source_vs_target,0.8455
Ostsee,MiniKlexikon,source_vs_target,0.8464
Vakuum,Klexikon,source_vs_target,0.8465
Athen,MiniKlexikon,source_vs_target,0.8466
Komet,MiniKlexikon,source_vs_target,0.8474
Zucker,MiniKlexikon,source_vs_target,0.8477
Südpol,MiniKlexikon,source_vs_target,0.8479
Südpol,Klexikon,source_vs_target,0.8488
Vakuum,MiniKlexikon,source_vs_target,0.8492
Varusschlacht,Klexikon,source_vs_target,0.8492
Handball,MiniKlexikon,source_vs_target,0.8497
Kalter Krieg,MiniKlexikon,source_vs_target,0.8499
Aare,Klexikon,source_vs_target,0.8502
Wales,MiniKlexikon,source_vs_target,0.8506
Salzburg,MiniKlexikon,source_vs_target,0.8509
Einwohner,Klexikon,source_vs_target,0.8525
Hygiene,Klexikon,source_vs_target,0.8538
Leipzig,Klexikon,source_vs_target,0.8541
Handball,Klexikon,source_vs_target,0.8542
Schimpansen,MiniKlexikon,source_vs_target,0.8542
Athen,Klexikon,source_vs_target,0.8543
Durchmesser,Klexikon,source_vs_target,0.8543
Radius,Klexikon,source_vs_target,0.8543
Robinson Crusoe,Klexikon,source_vs_target,0.8546
Sokrates,MiniKlexikon,source_vs_target,0.8554
Temperatur,Klexikon,source_vs_target,0.8554
Leopard,Klexikon,source_vs_target,0.8557
Alexander der Große,MiniKlexikon,source_vs_target,0.8571
Napoleon Bonaparte,Klexikon,source_vs_target,0.8571
Vaterunser,Klexikon,source_vs_target,0.8571
Donau,Klexikon,source_vs_target,0.8582
Angela Merkel,Klexikon,source_vs_target,0.8585
Robinson Crusoe,MiniKlexikon,source_vs_target,0.8594
Aristoteles,Klexikon,source_vs_target,0.8595
Brust,Klexikon,source_vs_target,0.8602
Einwohner,MiniKlexikon,source_vs_target,0.8602
Island,Klexikon,source_vs_target,0.8602
Nordamerika,MiniKlexikon,source_vs_target,0.8602
Salzburg,Klexikon,source_vs_target,0.8603
Magen,MiniKlexikon,source_vs_target,0.8604
Totes Meer,MiniKlexikon,source_vs_target,0.8606
Euro,Klexikon,source_vs_target,0.8607
Hirsche,Klexikon,source_vs_target,0.861
Flussdelta,MiniKlexikon,source_vs_target,0.8621
E-Mail,Klexikon,source_vs_target,0.8627
Server,Klexikon,source_vs_target,0.8627
Tsunami,MiniKlexikon,source_vs_target,0.863
Kamel,Klexikon,source_vs_target,0.8632
Tsunami,Klexikon,source_vs_target,0.8632
Wiener Kongress,Klexikon,source_vs_target,0.8632
Horizont,Klexikon,source_vs_target,0.8633
Werbung,Klexikon,source_vs_target,0.8634
Sherlock Holmes,MiniKlexikon,source_vs_target,0.8636
Asien,MiniKlexikon,source_vs_target,0.8642
Antisemitismus,MiniKlexikon,source_vs_target,0.8643
Spree,MiniKlexikon,source_vs_target,0.8663
Pippi Langstrumpf,MiniKlexikon,source_vs_target,0.8671
Jazz,Klexikon,source_vs_target,0.8672
Jazz,MiniKlexikon,source_vs_target,0.8677
Theologie,Klexikon,source_vs_target,0.8682
Flussdelta,Klexikon,source_vs_target,0.8685
Held,Klexikon,source_vs_target,0.869
Aristoteles,MiniKlexikon,source_vs_target,0.8695
Astronaut,Klexikon,source_vs_target,0.8697
Wiener Kongress,MiniKlexikon,source_vs_target,0.8703
Helgoland,Klexikon,source_vs_target,0.8704
Varusschlacht,MiniKlexikon,source_vs_target,0.8705
Sokrates,Klexikon,source_vs_target,0.8712
Weltwunder,Klexikon,source_vs_target,0.8724
Angela Merkel,MiniKlexikon,source_vs_target,0.8725
Syrien,Klexikon,source_vs_target,0.8734
Orang-Utans,Klexikon,source_vs_target,0.8735
Wasserturm,MiniKlexikon,source_vs_target,0.8749
Asien,Klexikon,source_vs_target,0.8756
Propaganda,MiniKlexikon,source_vs_target,0.8758
Kalter Krieg,Klexikon,source_vs_target,0.8768
Spree,Klexikon,source_vs_target,0.8768
Albert Einstein,Klexikon,source_vs_target,0.8788
Nordamerika,Klexikon,source_vs_target,0.8792
Deutsche Ostgebiete,MiniKlexikon,source_vs_target,0.8794
Tutanchamun,MiniKlexikon,source_vs_target,0.8794
Klassizismus,Klexikon,source_vs_target,0.8802
Latein,MiniKlexikon,source_vs_target,0.8802
Orgel,Klexikon,source_vs_target,0.8813
Österreich,MiniKlexikon,source_vs_target,0.8814
Schiller,Klexikon,source_vs_target,0.8822
Wasserturm,Klexikon,source_vs_target,0.8826
Katastrophe,Klexikon,source_vs_target,0.8832
Latein,Klexikon,source_vs_target,0.8841
Klassizismus,MiniKlexikon,source_vs_target,0.8846
Franzosenzeit,Klexikon,source_vs_target,0.8847
Tutanchamun,Klexikon,source_vs_target,0.8848
Platon,MiniKlexikon,source_vs_target,0.8858
Neujahr,Klexikon,source_vs_target,0.8859
Zugspitze,MiniKlexikon,source_vs_target,0.886
NATO,MiniKlexikon,source_vs_target,0.8863
Fridays for Future,Klexikon,source_vs_target,0.8874
Theologie,MiniKlexikon,source_vs_target,0.888
Galileo Galilei,MiniKlexikon,source_vs_target,0.8884
Österreich,Klexikon,source_vs_target,0.8885
Johann Wolfgang von Goethe,Klexikon,source_vs_target,0.8899
Queen (Band),Klexikon,source_vs_target,0.8907
Komet,Klexikon,source_vs_target,0.8916
Sozialdemokratie,Klexikon,source_vs_target,0.8916
Schloss Neuschwanstein,MiniKlexikon,source_vs_target,0.8917
Thüringen,Klexikon,source_vs_target,0.8924
Schiller,MiniKlexikon,source_vs_target,0.8932
Alexander der Große,Klexikon,source_vs_target,0.8934
Rosen,Klexikon,source_vs_target,0.8936
Uluru,MiniKlexikon,source_vs_target,0.8939
Magen,Klexikon,source_vs_target,0.8946
Albert Einstein,MiniKlexikon,source_vs_target,0.8947
Elbe,Klexikon,source_vs_target,0.8948
Republik Moldau,MiniKlexikon,source_vs_target,0.8949
Transnistrien,MiniKlexikon,source_vs_target,0.8949
Republik Moldau,Klexikon,source_vs_target,0.8956
Transnistrien,Klexikon,source_vs_target,0.8956
Schloss Neuschwanstein,Klexikon,source_vs_target,0.8958
Propaganda,Klexikon,source_vs_target,0.896
Wolodymyr Selenskyj,Klexikon,source_vs_target,0.8967
Totes Meer,Klexikon,source_vs_target,0.8985
Sozialdemokratie,MiniKlexikon,source_vs_target,0.8992
Sonne,Klexikon,source_vs_target,0.8998
Sherlock Holmes,Klexikon,source_vs_target,0.9002
Antisemitismus,Klexikon,source_vs_target,0.9013
Finnland,MiniKlexikon,source_vs_target,0.9013
Orgel,MiniKlexikon,source_vs_target,0.9015
Thüringen,MiniKlexikon,source_vs_target,0.9021
Galileo Galilei,Klexikon,source_vs_target,0.9025
Astronaut,MiniKlexikon,source_vs_target,0.903
Amsterdam,Klexikon,source_vs_target,0.9031
Insel,MiniKlexikon,source_vs_target,0.9038
Gras,MiniKlexikon,source_vs_target,0.9055
Finnland,Klexikon,source_vs_target,0.906
Tschechien,MiniKlexikon,source_vs_target,0.907
Wolodymyr Selenskyj,MiniKlexikon,source_vs_target,0.9074
Klexikon,MiniKlexikon,source_vs_target,0.9079
Platon,Klexikon,source_vs_target,0.9082
Deutsche Ostgebiete,Klexikon,source_vs_target,0.9107
Antibiotikum,Klexikon,source_vs_target,0.9118
Schimpansen,Klexikon,source_vs_target,0.9136
Zucker,Klexikon,source_vs_target,0.9138
Amsterdam,MiniKlexikon,source_vs_target,0.9154
Insel,Klexikon,source_vs_target,0.916
Blutkreislauf,Klexikon,source_vs_target,0.9161
Tschechien,Klexikon,source_vs_target,0.9171
Erfinder,Klexikon,source_vs_target,0.919
NATO,Klexikon,source_vs_target,0.9228
Byzantinisches Reich,Klexikon,source_vs_target,0.9276
Uluru,Klexikon,source_vs_target,0.9302
Wiesbaden,MiniKlexikon,source_vs_target,0.9368
Zugspitze,Klexikon,source_vs_target,0.9387
Wiesbaden,Klexikon,source_vs_target,0.9453
Reformierte Kirche,MiniKlexikon,source_vs_target,0.9519
Reformierte Kirche,Klexikon,source_vs_target,0.9533
